"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N","P2_005N","P2_006N","P2_007N","P2_008N","P2_009N","P2_010N","P2_011N","P2_012N","P2_013N","P2_014N","P2_015N","P2_016N","P2_017N","P2_018N","P2_019N","P2_020N","P2_021N","P2_022N","P2_023N","P2_024N","P2_025N","P2_026N","P2_027N","P2_028N","P2_029N","P2_030N","P2_031N","P2_032N","P2_033N","P2_034N","P2_035N","P2_036N","P2_037N","P2_038N","P2_039N","P2_040N","P2_041N","P2_042N","P2_043N","P2_044N","P2_045N","P2_046N","P2_047N","P2_048N","P2_049N","P2_050N","P2_051N","P2_052N","P2_053N","P2_054N","P2_055N","P2_056N","P2_057N","P2_058N","P2_059N","P2_060N","P2_061N","P2_062N","P2_063N","P2_064N","P2_065N","P2_066N","P2_067N","P2_068N","P2_069N","P2_070N","P2_071N","P2_072N","P2_073N"
"0500000US48467","Van Zandt County, Texas","59541","7071","52470","50266","47986","1517","328","272","30","133","2204","2106","316","1211","144","12","389","19","2","0","8","0","1","1","2","1","0","93","47","0","0","5","17","1","9","2","0","0","0","0","7","2","0","2","0","0","1","0","4","0","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","1"
"0500000US48469","Victoria County, Texas","91319","42931","48388","46432","39330","5230","214","1391","35","232","1956","1893","474","746","173","19","408","32","12","0","24","0","0","0","2","3","0","56","24","4","0","7","2","0","4","7","2","0","0","0","4","0","2","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US48471","Walker County, Texas","76400","16578","59822","57939","39823","16382","251","1126","39","318","1883","1807","482","809","122","16","273","48","0","6","28","3","0","0","20","0","0","74","37","5","4","8","3","0","2","11","4","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US48473","Waller County, Texas","56794","18486","38308","36917","23494","12104","210","785","10","314","1391","1313","264","520","149","11","277","44","10","3","15","0","0","8","7","2","3","64","27","13","0","7","0","0","5","7","0","1","0","0","1","2","0","0","1","0","0","0","14","2","0","4","2","0","0","0","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US48475","Ward County, Texas","11644","6325","5319","5055","4506","415","41","69","2","22","264","232","79","96","3","5","36","5","6","0","0","1","0","0","0","0","1","21","0","3","0","0","3","0","6","6","0","0","0","0","0","3","0","0","0","0","0","0","9","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0"
"0500000US48477","Washington County, Texas","35805","6425","29380","28354","22023","5555","75","547","14","140","1026","993","245","355","73","15","262","15","4","0","18","4","0","2","0","0","0","27","20","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","4","0","0","0","0","2","2"
"0500000US48479","Webb County, Texas","267114","254354","12760","12201","9495","788","135","1300","25","458","559","514","62","107","62","12","227","12","1","3","0","3","0","0","14","10","1","35","15","3","0","1","8","0","2","1","5","0","0","0","0","0","0","0","0","0","0","0","9","0","0","7","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
"0500000US48481","Wharton County, Texas","41570","16967","24603","23936","18130","5469","69","164","0","104","667","627","148","231","36","9","183","6","2","4","7","0","0","1","0","0","0","32","12","0","1","8","4","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0"
"0500000US48483","Wheeler County, Texas","4990","1227","3763","3621","3469","81","33","24","2","12","142","131","30","79","10","0","8","0","0","0","3","0","0","1","0","0","0","9","0","0","0","0","0","0","3","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0"
"0500000US48485","Wichita County, Texas","129350","25803","103547","97328","79694","13379","992","2647","140","476","6219","5832","1507","2444","731","79","740","118","67","10","87","0","0","0","44","5","0","369","195","46","5","20","42","7","3","34","0","0","6","0","2","5","3","1","0","0","0","0","9","0","0","3","1","1","0","4","0","0","0","0","0","0","0","0","9","2","2","2","0","3","0","0","0"
