"","disp_key","rpt_date","submit_number","facility_no","field_pool","opno","dis_sold","dis_reinject","flare_gtr","flare_lt","pilot_purge","assist_gas","used","d_other","tr_from","tr_to","ng_leq","purch_gas","amnd_rpt","cmmnt","dt_mod"
"5884",44182,"11/01/16 00:00:00",290000024,4,0,124250,0,197103,0,174,1065,0,280357,0,0,0,0,0,0,"","12/19/16 07:55:46"
"5885",44183,"11/01/16 00:00:00",1330000020,37,0,124250,28257,0,0,961,3237,0,46083,0,13287,-1775,0,0,0,"Trsf Frm: TBU  12639; Sthd 648  Trsf To: TBF  1775","12/19/16 07:55:46"
"5886",44184,"11/01/16 00:00:00",1330000007,27,0,124250,0,0,0,520,594,0,13393,0,0,-483,0,111,0,"Purch Frm CIGGS: 111 Trsf To: GPTF COVs Prod Gas 483","12/19/16 07:55:46"
"5887",44185,"11/01/16 00:00:00",1330000024,17,0,124250,0,0,0,0,0,0,0,0,0,0,0,268,0,"","12/19/16 07:55:46"
"5888",44186,"11/01/16 00:00:00",1330000021,38,0,124250,0,0,0,4694,566,0,58612,0,50764,0,0,0,0,"Trsf Frm: Steelhead  50764","12/19/16 07:55:46"
"5889",44187,"11/01/16 00:00:00",1330000005,27,0,124250,0,0,860,179,1122,0,20975,0,0,-6898,0,80,0,"Purch Frm CIGGS: 80 Trsf To: Bruce GPTF COVs Prod Gas 6898","12/19/16 07:55:46"
"5890",44188,"11/01/16 00:00:00",1330000022,38,0,124250,0,0,0,2106,3600,0,127876,0,82794,0,0,0,0,"Trsf Frm: Steelhead  82794","12/19/16 07:55:46"
"5891",44189,"11/01/16 00:00:00",1330000009,27,0,124250,0,0,0,0,451,0,7272,0,7723,0,0,4054,0,"Purch Frm CIGGS: 4054  Trsf Frm: Anna  6898  Bruce 483 GPP 342   7723","12/19/16 07:55:46"
"5892",44190,"11/01/16 00:00:00",1330000017,32,0,124250,0,0,0,0,0,0,0,0,0,0,0,393,0,"","12/19/16 07:55:46"
"5893",44217,"11/01/16 00:00:00",2830000009,49,0,110800,823,0,0,0,0,0,1175,0,0,0,0,0,0,"0","12/20/16 14:09:18"
"5894",44218,"11/01/16 00:00:00",2830000010,51,0,110800,33,0,0,0,0,0,42,0,0,0,0,0,0,"0","12/20/16 14:09:38"
"5895",44219,"11/01/16 00:00:00",2830000005,1,0,110800,4585,0,0,0,0,0,2204,0,0,0,0,0,0,"0","12/20/16 14:10:05"
"5896",44220,"11/01/16 00:00:00",2830000011,1,0,110800,12271,0,0,0,0,0,2310,0,0,0,0,0,0,"0","12/20/16 14:11:19"
"5897",44221,"11/01/16 00:00:00",1330000018,15,0,124250,0,0,0,0,0,0,0,0,0,0,0,0,0,"","12/20/16 15:05:01"
"5898",44222,"11/01/16 00:00:00",1330000043,64,0,124250,81692,0,0,0,0,0,1047,0,0,0,0,0,0,"","12/20/16 15:05:01"
